,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases/1Mpop,Deaths/1Mpop,TotalTests,Tests/1Mpop,Population
76,Nigeria,163498,0,2058,0,153788,7652,11,778,10,1803177,8586,210022724
77,Bahrain,151931,0,547,0,141119,10265,74,87000,313,3704727,2121443,1746324
78,Kenya,143063,1698,2292,16,97650,43121,235,2617,42,1542088,28206,54672609
79,Myanmar,142549,8,3206,0,131834,7509,0,2607,59,2547852,46588,54689159
80,North Macedonia,138891,1163,4108,35,112619,22164,124,66668,1972,655924,314847,2083308
81,Albania,127192,0,2291,0,95600,29301,18,44235,797,573313,199387,2875383
82,Uruguay,126987,0,1231,0,98837,26919,436,36459,353,1470153,422099,3482961
83,Algeria,118004,0,3116,0,82192,32696,19,2654,70,230861,5193,44454659
84,Estonia,112421,757,990,14,91789,19642,70,84704,746,1181481,890192,1327220
85,S. Korea,107598,700,1758,2,98360,7480,112,2097,34,8012421,156178,51303051
86,Latvia,105916,740,1963,17,97019,6934,87,56636,1050,1985304,1061587,1870128
87,Norway,101607,933,684,1,88952,11971,54,18631,125,4797650,879707,5453693
88,Sri Lanka,94253,343,591,3,91044,2618,0,4388,28,2374627,110540,21482078
89,Montenegro,93566,257,1345,11,87388,4833,69,148960,2141,348152,554270,628127
90,Ghana,91009,0,752,0,88810,1447,32,2883,24,1016808,32211,31566766
91,Kyrgyzstan,89660,222,1516,4,85607,2537,24,13572,229,886816,134238,6606303
92,Zambia,89592,206,1225,1,85446,2921,76,4772,65,1286686,68533,18774694
93,Uzbekistan,84322,195,634,1,82234,1454,23,2492,19,1377915,40719,33839530
94,Cuba,83515,914,443,1,77953,5119,77,7377,39,3149346,278179,11321307
95,Finland,80842,426,866,4,46000,33976,42,14573,156,4093242,737877,5547325
96,Mozambique,68431,0,785,0,58063,9583,68,2144,25,491304,15392,31920002
97,El Salvador,65491,0,2040,3,62340,1111,30,10058,313,856658,131565,6511286
98,Luxembourg,63180,387,762,0,58874,3544,30,99693,1202,2478479,3910834,633747
99,Singapore,60575,21,30,0,60284,261,1,10292,5,8789647,1493425,5885565
100,Cameroon,57337,0,851,0,51769,4717,53,2120,31,1187367,43898,27048056
101,Afghanistan,57019,76,2521,5,51956,2542,1120,1440,64,364078,9195,39595345
102,Cyprus,49366,0,266,0,2057,47043,48,40661,219,3559362,2931714,1214089
103,Namibia,45054,15,557,9,43354,1143,22,17490,216,356460,138378,2575982
104,Ivory Coast,44880,0,257,0,43446,1177,0,1670,10,541414,20146,26874731
105,Botswana,41710,0,616,0,36958,4136,1,17468,258,942561,394742,2387788
106,Jamaica,41400,0,631,0,18444,22325,33,13934,212,294789,99220,2971075
107,Uganda,41062,16,337,0,40685,40,0,877,7,957920,20453,46835531
108,Senegal,39237,73,1073,3,37970,194,23,2297,63,449435,26315,17079046
109,Zimbabwe,36984,0,1531,0,34803,650,3,2461,102,390833,26007,15028105
110,Malawi,33718,0,1125,0,30996,1597,23,1729,58,221473,11354,19505475
111,Thailand,30310,405,95,0,28101,2114,1,433,1,8124896,116179,69934331
112,Sudan,30111,0,2063,0,24214,3834,0,675,46,232965,5220,44627885
113,Malta,29463,55,401,1,28508,554,0,66591,906,826461,1867941,442445
114,Australia,29382,5,909,0,26326,2147,0,1142,35,15976923,621041,25726041
115,DRC,28474,64,745,0,25841,1888,0,311,8,142745,1558,91625594
116,Madagascar,26475,348,475,6,23092,2908,246,938,17,149929,5311,28231842
117,Maldives,25191,0,67,0,22014,3110,88,45986,122,659127,1203219,547803
118,Rwanda,23041,0,314,0,20835,1892,5,1746,24,1194484,90517,13196240
119,Angola,23010,0,547,0,21545,918,13,684,16,433058,12873,33641078
120,Guinea,20554,0,131,0,18302,2121,24,1534,10,410711,30643,13403249
121,Gabon,20265,0,124,0,17227,2914,25,8944,55,654156,288725,2265671
122,Syria,19761,0,1342,0,13549,4870,0,1109,75,0,0,17823842
123,Mayotte,19408,0,167,0,2964,16277,8,69858,601,159240,573179,277819
124,French Polynesia,18643,0,141,0,4842,13660,2,66074,500,26355,93407,282152
125,Cabo Verde,18214,0,175,0,16811,1228,23,32490,312,132218,235849,560604
126,Mauritania,17974,0,450,0,17266,258,14,3790,95,212268,44759,4742484
127,Réunion,17508,0,123,0,16011,1374,54,19449,137,100098,111195,900205
128,Eswatini,17365,0,669,0,16631,65,3,14850,572,172043,147127,1169351
129,French Guiana,17318,0,94,0,9995,7229,8,56862,309,166476,546606,304563
130,Tajikistan,13308,0,90,0,13218,0,0,1372,9,0,0,9700629
131,Burkina Faso,12873,0,150,0,12540,183,0,603,7,173878,8149,21338394
132,Haiti,12803,0,251,0,11317,1235,0,1112,22,54379,4725,11508755
133,Mongolia,12780,554,18,1,8140,4622,88,3851,5,2345886,706897,3318568
134,Belize,12485,0,318,0,12106,61,1,30970,789,103373,256426,403130
135,Andorra,12409,46,120,1,11692,597,12,160406,1551,193595,2502521,77360
136,Guadeloupe,12140,0,174,0,2242,9724,13,30337,435,159029,397397,400177
137,Somalia,11978,0,576,0,5058,6344,0,738,35,95922,5910,16229752
138,Hong Kong,11550,10,205,0,11174,171,8,1531,27,11193673,1483876,7543539
139,Togo,11501,0,113,0,8592,2796,0,1365,13,285400,33870,8426281
140,Mali,10841,0,400,0,7033,3408,0,524,19,239376,11568,20693343
141,Guyana,10718,0,250,0,9473,995,9,13576,317,94527,119736,789461
142,Lesotho,10707,0,315,0,4471,5921,0,4968,146,68712,31881,2155249
143,Curaçao,10392,0,58,0,5762,4572,22,63132,352,80384,488339,164607
144,South Sudan,10324,27,114,1,10061,149,1,914,10,136999,12130,11294036
145,Congo,10084,0,137,0,8208,1739,0,1794,24,92500,16455,5621323
146,Aruba,9834,0,92,0,9170,572,8,91809,859,132152,1233751,107114
147,Djibouti,9306,0,90,0,7225,1991,0,9316,90,136235,136376,998969
148,Bahamas,9296,0,189,0,8811,296,3,23468,477,78357,197812,396119
149,Suriname,9200,0,178,0,8637,385,4,15576,301,45451,76950,590654
150,Martinique,9028,0,57,0,98,8873,5,24072,152,133358,355582,375042
151,Trinidad and Tobago,8235,0,145,0,7683,407,14,5870,103,114666,81731,1402963
152,Papua New Guinea,7839,205,68,0,846,6925,0,864,7,63700,7018,9076169
153,Benin,7313,0,93,0,6452,768,35,591,8,548484,44360,12364386
154,Equatorial Guinea,7059,0,104,0,6683,272,11,4909,72,111994,77888,1437889
155,Nicaragua,6727,0,179,0,4225,2323,0,1006,27,0,0,6684793
156,Iceland,6256,5,29,0,6117,110,0,18242,85,556821,1623674,342939
157,Gambia,5564,0,166,0,5111,287,3,2254,67,58464,23687,2468192
158,CAR,5402,37,74,1,5056,272,2,1104,15,40907,8359,4893798
159,Niger,5052,0,188,0,4725,139,1,203,8,92317,3712,24869163
160,Yemen,5047,0,986,0,1886,2175,23,166,33,20872,688,30325839
161,San Marino,4932,26,85,0,4411,436,10,145119,2501,55350,1628612,33986
162,Chad,4606,0,166,0,4236,204,0,274,10,110448,6581,16783464
163,Seychelles,4395,63,24,0,4091,280,0,44478,243,21504,217623,98813
164,Saint Lucia,4312,8,63,0,4142,107,2,23400,342,36928,200402,184270
165,Gibraltar,4275,0,94,0,4171,10,0,126919,2791,215329,6392809,33683
166,Channel Islands,4051,0,86,0,3956,9,1,23137,491,399901,2283987,175089
167,Sierra Leone,3993,0,79,0,2826,1088,0,493,10,118332,14608,8100518
168,Comoros,3758,0,146,0,3568,44,0,4253,165,0,0,883702
169,Barbados,3697,0,44,0,3557,96,0,12853,153,144155,501156,287645
170,Guinea-Bissau,3663,0,66,0,3032,565,9,1828,33,59514,29707,2003371
171,Eritrea,3374,0,10,0,3138,226,0,941,3,23693,6611,3583905
172,Cambodia,3028,113,24,2,1914,1090,0,179,1,744516,44066,16895666
173,Burundi,3017,0,6,0,773,2238,0,248,0,90019,7403,12159335
174,Liechtenstein,2714,12,56,0,2605,53,4,71025,1466,32252,844028,38212
175,Vietnam,2668,9,35,0,2429,204,0,27,0,2598753,26516,98008748
176,New Zealand,2555,24,26,0,2434,95,0,511,5,1927613,385361,5002100
177,Monaco,2353,0,30,0,2205,118,6,59638,760,51953,1316766,39455
178,Turks and Caicos,2344,0,17,0,2276,51,2,59923,435,35166,898995,39117
179,Sao Tome and Principe,2255,0,35,0,2154,66,0,10146,157,12597,56677,222261
180,Sint Maarten,2174,0,27,0,2106,41,1,50268,624,24628,569460,43248
181,Liberia,2042,0,85,0,1899,58,2,397,17,79684,15478,5148081
182,St. Vincent Grenadines,1774,8,10,0,1627,137,2,15952,90,42754,384444,111210
183,Saint Martin,1693,0,12,0,1399,282,7,43223,306,26385,673619,39169
184,Bermuda,1586,89,14,0,835,737,20,25539,225,211119,3399607,62101
185,Isle of Man,1574,2,29,0,1445,100,0,18436,340,44761,524269,85378
186,Caribbean Netherlands,1478,0,14,0,1268,196,0,55964,530,9238,349792,26410
187,Antigua and Barbuda,1177,0,29,0,911,237,45,11943,294,16493,167357,98550
188,Mauritius,1167,0,12,0,707,448,0,916,9,358675,281670,1273387
189,Taiwan,1050,0,10,0,1004,36,0,44,0,484871,20330,23849851
190,St. Barth,907,0,1,0,462,444,0,91616,101,26385,2665152,9900
191,Bhutan,900,0,1,0,874,25,0,1157,1,644174,827876,778104
192,Timor-Leste,779,0,1,0,294,484,0,582,0,45338,33896,1337579
193,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0
194,Faeroe Islands,661,0,1,0,660,0,0,13488,20,245485,5009387,49005
195,Cayman Islands,513,0,2,0,487,24,0,7736,30,84114,1268458,66312
196,Tanzania,509,0,21,0,183,305,7,8,0,0,0,61025203
197,Wallis and Futuna,429,6,5,1,44,380,3,38694,451,1331,120051,11087
198,Brunei ,216,1,3,0,202,11,0,490,7,116173,263620,440684
199,British Virgin Islands,178,0,1,0,159,18,0,5858,33,13223,435182,30385
200,Dominica,165,0,0,0,159,6,0,2288,0,13500,187180,72123
201,Grenada,155,0,1,0,152,2,0,1373,9,23989,212437,112923
202,New Caledonia,121,0,0,0,58,63,0,421,0,29017,100894,287598
203,Fiji,67,0,2,0,64,1,0,74,2,36597,40599,901419
204,Falkland Islands,60,0,0,0,54,6,0,16868,0,7165,2014338,3557
205,Laos,49,0,0,0,47,2,0,7,0,138020,18762,7356163
206,Macao,48,0,0,0,48,0,0,73,0,4369,6659,656095
207,Saint Kitts and Nevis,44,0,0,0,44,0,0,823,0,12381,231477,53487
208,Greenland,31,0,0,0,31,0,0,545,0,20669,363596,56846
209,Vatican City,27,0,0,0,15,12,0,33624,0,0,0,803
