,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases/1Mpop,Deaths/1Mpop,TotalTests,Tests/1Mpop,Population
195,Monaco,3358,0,33,0,3284,41,2,84794,833,54960,1387809,39602
196,Turks and Caicos,2925,0,23,0,2855,47,1,74252,584,94789,2406240,39393
197,British Virgin Islands,2725,0,37,0,2649,39,7,89371,1213,82570,2708012,30491
198,Bhutan,2617,0,3,0,2605,9,0,3344,4,1178767,1506254,782582
199,Saint Kitts and Nevis,2556,6,21,0,1906,629,1,47611,391,51994,968501,53685
200,Caribbean Netherlands,2335,0,19,0,2157,159,0,87987,716,25579,963863,26538
201,St. Barth,1588,0,6,0,462,1120,0,160145,605,38369,3869403,9916
202,Faeroe Islands,1350,0,2,0,1261,87,0,27493,41,451000,9184775,49103
203,Cayman Islands,1011,0,2,0,827,182,0,15153,30,136206,2041487,66719
204,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0
205,Anguilla,668,0,1,0,587,80,0,44017,66,42919,2828084,15176
206,Greenland,654,0,0,0,618,36,2,11494,0,81163,1426490,56897
207,Wallis and Futuna,445,0,7,0,438,0,0,40513,637,20508,1867079,10984
208,Macao,77,0,0,0,66,11,0,117,0,4988,7549,660764
209,Falkland Islands,68,0,0,0,67,1,0,18831,0,7643,2116588,3611
210,Montserrat,41,0,1,0,31,9,0,8207,200,1408,281825,4996
211,Saint Pierre Miquelon,32,0,0,0,32,0,0,5558,0,10173,1767066,5757
212,Vatican City,27,0,0,0,27,0,0,33582,0,0,0,804
213,Solomon Islands,20,0,0,0,20,0,0,28,0,4500,6351,708596
214,Western Sahara,10,0,1,0,8,1,0,16,2,0,0,616269
215,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0
216,Palau,8,0,0,0,8,0,0,439,0,11133,611535,18205
217,Vanuatu,4,0,1,0,3,0,0,13,3,23000,72693,316398
218,Marshall Islands,4,0,0,0,4,0,0,67,0,0,0,59706
219,Samoa,3,0,0,0,3,0,0,15,0,0,0,200118
220,Saint Helena,2,0,0,0,2,0,0,328,0,0,0,6100
221,Micronesia,1,0,0,0,1,0,0,9,0,0,0,116580
222,China,96546,24,4636,0,91394,516,1,67,3,160000000,111163,1439323776
